inn,target
5260112410,0
6311150391,0
7810027596,0
2465293875,1
6324076748,0
2465238553,0
3812130023,0
1658200561,0
4027099153,1
6950055457,0
5918215224,0
3665037158,0
4501153735,1
7718288733,0
7717567452,1
7536162870,1
2631803003,1
5404289490,0
7733304066,0
5024051684,0
1517000016,0
3123430440,0
2221065659,0
9723014851,1
6452082923,0
6658463560,0
2308061641,0
9102012442,0
9710058241,0
1001334255,1
7702850682,0
7724347401,0
6345006082,0
4401132410,0
6726022894,1
3906082625,0
7710121637,0
6670452684,1
3616023748,1
6664044905,0
3528211460,0
7729398745,0
9715251217,0
7448191978,0
4100014999,0
9709040673,0
3123200982,0
7816566410,0
2629008880,1
5036139929,1
7707781200,0
2327013805,0
1660149400,0
7736133436,0
7325032086,0
1102045250,0
7735151489,0
7718965696,0
7726682028,0
5408309387,0
7810735503,0
9723065447,1
5024110675,0
4207055973,0
2222841833,0
5036114995,0
5406770560,0
1650305033,0
3123399750,1
5262006464,0
6321293840,1
3662261994,0
3525392498,0
5720013838,0
7714377414,0
4101147423,0
6323094381,0
5410057144,0
1660058577,1
5013050840,0
2308124901,0
4720027123,0
2311284976,1
3810310687,0
3662059523,0
6732058497,0
9703003812,1
7842181713,0
4329015216,0
3663143577,0
5262309660,0
3111504841,1
7202169210,0
7743272751,0
2224173363,0
5823901465,0
2540229920,1
6658434777,1
7842018844,0
7724680970,0
6671079264,0
7604191664,0
6163092640,0
9715317725,1
7729442264,0
7810380610,1
2464000780,0
7811545449,0
7446047626,0
1102078858,0
7811656886,0
7726687668,0
2311083123,0
7724779257,1
6162081460,1
5402462822,0
9102051459,0
7840384919,0
7730660563,0
7734683917,0
2222786822,0
2371003362,0
5805003204,0
5506216973,1
7430017986,1
3123097929,0
5047206790,0
3526032699,1
1216007191,0
3123353837,0
7811625260,1
7838455376,1
5823009248,1
5005052562,0
7726429040,0
6148559112,0
4346047144,0
7727404778,1
2465270589,1
7735584073,0
2373009659,0
5258138813,0
2464228016,1
7802634533,1
5610071410,0
2536297090,0
7722361376,0
6119009717,0
7810684545,1
2342018445,0
7205022544,0
7727557809,0
2907007241,0
9715315439,1
1644017710,0
1660146551,0
7728709204,0
3528018643,0
6670193239,0
5402582975,0
7719443156,0
5405488650,0
5404173086,1
3665025804,0
7724755070,1
9102054097,0
7721102210,0
5009103458,1
7726297989,0
1655174176,0
9725008109,0
5403045420,1
6324052105,0
7203014410,0
2804017858,0
7733711505,1
7715473978,0
2224061638,0
7718595935,0
7713463893,1
5259084350,0
5754006620,0
1114003938,0
4345004772,1
7728364408,1
6671024057,0
7814614852,0
2901188425,1
2221123220,0
6455018838,1
7806303194,1
7415087442,0
6658016201,0
6168083738,0
3702699466,1
5401305707,0
7716762330,0
7805547670,0
1658029804,0
3123368368,1
2801216975,0
7813620910,0
4345378143,0
5003128872,0
7814085990,1
7714895568,0
7448142593,0
2305028484,1
1001333893,1
7453291287,0
7727582668,1
7714359983,0
7706597141,1
6163150853,0
7106058927,0
7713425464,0
7728761758,0
7203066641,0
9709053859,0
2361014044,0
6830003136,0
